Repository's Location,Branch,Author's GitHub ID, Author's Email, Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/CS2103-AY1819S2-W13-1/main.git,master,wayneswq,,SEA...UAN,wayneswq
https://github.com/CS2103-AY1819S2-W13-1/main.git,master,amuletxheart,,YON...HEN,amuletxheart
https://github.com/CS2103-AY1819S2-W13-2/main.git,master,minernchan,,CHA...ERN,minernchan
https://github.com/CS2103-AY1819S2-W13-2/main.git,master,joel0111,,JOE...HAO,joel0111
https://github.com/CS2103-AY1819S2-W13-2/main.git,master,A0143487X-Kevin,,KEV...ENG,A0143487X-Kevin
https://github.com/CS2103-AY1819S2-W13-2/main.git,master,melkwx,,MEL...UAN,melkwx
https://github.com/CS2103-AY1819S2-W13-2/main.git,master,ivyyangyq,,YAN...ING,ivyyangyq
https://github.com/CS2103-AY1819S2-W13-3/main.git,master,DarrenDragonLee,,LEE...REN,DarrenDragonLee
https://github.com/CS2103-AY1819S2-W13-3/main.git,master,case141,,LOW...SEY,case141
https://github.com/CS2103-AY1819S2-W13-3/main.git,master,suriruhani,,RUH...URI,suriruhani
https://github.com/CS2103-AY1819S2-W13-3/main.git,master,fterh,,TER...WEI,fterh
https://github.com/CS2103-AY1819S2-W13-3/main.git,master,DoItTomorrow,,YAN...ANG,DoItTomorrow
https://github.com/CS2103-AY1819S2-W13-4/main.git,master,chuaes,,CHU...OON,chuaes
https://github.com/CS2103-AY1819S2-W13-4/main.git,master,sickerin,,DAN...UNG,sickerin
https://github.com/CS2103-AY1819S2-W13-4/main.git,master,radhika-lakhtakia,,LAK...IKA,radhika-lakhtakia
https://github.com/CS2103-AY1819S2-W13-4/main.git,master,wfxronald,,RON...OSO,wfxronald
https://github.com/CS2103-AY1819S2-W14-1/main.git,master,lallanachang,,CHA...LEI,lallanachang
https://github.com/CS2103-AY1819S2-W14-1/main.git,master,eugenefdw,,EUG...WEI,eugenefdw
https://github.com/CS2103-AY1819S2-W14-1/main.git,master,DigiPie,,EVA...TAY,DigiPie
https://github.com/CS2103-AY1819S2-W14-1/main.git,master,halcyoneee,,LEE...ING,halcyoneee
https://github.com/CS2103-AY1819S2-W14-1/main.git,master,jeraldtsy,,TAN...ALD,jeraldtsy
https://github.com/CS2103-AY1819S2-W14-2/main.git,master,kayheen,,CHO...EEN,kayheen
https://github.com/CS2103-AY1819S2-W14-2/main.git,master,carrein,,HO ...SON,carrein
https://github.com/CS2103-AY1819S2-W14-2/main.git,master,randytqw,,TAN...NDY,randytqw
https://github.com/CS2103-AY1819S2-W14-2/main.git,master,itszp,,TAY...ENG,itszp
https://github.com/CS2103-AY1819S2-W14-2/main.git,master,thamsimun,,THA...MUN,thamsimun
https://github.com/CS2103-AY1819S2-W14-3/main.git,master,bos10,,CHE...TON,bos10
https://github.com/CS2103-AY1819S2-W14-3/main.git,master,s-tr,,CHO...WEI,s-tr
https://github.com/CS2103-AY1819S2-W14-3/main.git,master,iwle,,IAN... EN,iwle
https://github.com/CS2103-AY1819S2-W14-3/main.git,master,lucydotc,,LUC...YAN,lucydotc
https://github.com/CS2103-AY1819S2-W14-3/main.git,master,erjillsison,,SIS...NES,erjillsison
